,县区名称,行政代码,sum price,sum area,ave price
95,新沂市,320381,11430.704,64.55179970999998,177.07800636624577
96,义乌市,330782,18313.5472,47.393629118999996,386.41369189130404
97,宝坻区,120115,57430.0,287.32549974,199.87783907786897
98,祥云县,532923,1986.1151999999997,5.5600000099999995,357.214963386304
99,中阳县,141129,7639.9,53.4598992,142.9089862556269
100,路桥区,331004,14000.0,32.848301,426.2016473850505
101,五台县,140922,0.0,0.0,
102,大名县,130425,0.0,0.0,
103,大悟县,420922,201.11,1.0312999,195.00632163350352
104,阜宁县,320923,16941.0576,158.739261332,106.72254272727221
105,城厢区,350302,2037.1873,9.15609997,222.49509143356374
106,常熟市,320581,165116.26210000002,539.22558699,306.2099909273447
107,瓯海区,330304,7944.94,9.54689995,832.2010329646326
108,济阳县,370125,0.0,0.0,
