车站,高铁计数,高德经纬度(缺240暂不分列）,,,,
贲红站,0,"113.243797,41.311081",,,113.243797,41.311081
本溪站,73,"123.759107,41.295286",,,123.759107,41.295286
本溪新城站,15,"123.677685,41.482596",,,123.677685,41.482596
笔架山站,0,"131.003418,46.787457",,,131.003418,46.787457
碧江站,4,"113.262628,22.949821",,,113.262628,22.949821
碧水站,0,"123.666374,52.117981",,,123.666374,52.117981
碧州站,0,"124.613518,51.949608",,,124.613518,51.949608
璧山站,16,"106.224108,29.503869",,,106.224108,29.503869
边沟站,0,"124.378448,40.723892",,,124.378448,40.723892
宾阳站,61,"109.093881,23.215572",,,109.093881,23.215572
彬县站,0,"108.077658,35.043911",,,108.077658,35.043911
滨海站,19,"119.858611,34.016058",,,119.858611,34.016058
滨海北站,13,"117.762249,39.236134",,,117.762249,39.236134
滨州站,0,"118.018322,37.374377",,,118.018322,37.374377
泊头站,0,"116.586639,38.061661",,,116.586639,38.061661
勃利站,0,"130.559839,45.755934",,,130.559839,45.755934
亳州站,0,"115.797629,33.847837",,,115.797629,33.847837
博鳌站,16,"110.486671,19.135885",,,110.486671,19.135885
博白站,0,"109.992526,22.230598",,,109.992526,22.230598
博克图站,0,"121.918526,48.754414",,,121.918526,48.754414
博乐站,0, ,,,0,0
博兴站,0,"118.142733,37.135949",,,118.142733,37.135949
布海站,0,"125.629013,44.382778",,,125.629013,44.382778
蔡家沟站,0,"126.138596,45.119370",,,126.138596,45.11937
蔡家坡站,0,"107.597801,34.321194",,,107.597801,34.321194
苍南站,57,"120.411873,27.527866",,,120.411873,27.527866
苍石站,0,"124.520805,41.987904",,,124.520805,41.987904
苍溪站,12,"105.916114,31.760114",,,105.916114,31.760114
沧州站,0,"116.877658,38.309223",,,116.877658,38.309223
沧州西站,94,"116.767890,38.306999",,,116.76789,38.306999
曹家营子站,0,"118.778519,42.338276",,,118.778519,42.338276
曹县站,0,"115.581826,34.825872",,,115.581826,34.825872
曹子里站,0,"117.138603,39.410957",,,117.138603,39.410957
草海站,0,"104.253838,26.878353",,,104.253838,26.878353
草河口站,0, ,,,0,0
草市站,0,"125.234901,42.297462",,,125.234901,42.297462
册亨站,0, ,,,0,0
岑溪站,0,"110.945480,22.902530",,,110.94548,22.90253
茶陵南站,0,"113.525264,26.737961",,,113.525264,26.737961
茶条沟站,0,"129.018082,43.040138",,,129.018082,43.040138
查布嘎站,0,"120.069183,43.857800",,,120.069183,43.8578
查干湖站,5,"96.948837,37.489452",,,96.948837,37.489452
查干特格站,0,"112.243576,43.377235",,,112.243576,43.377235
察尔汗站,0,"95.304932,36.809452",,,95.304932,36.809452
察素齐站,6,"111.126045,40.705784",,,111.126045,40.705784
岔江站,0,"110.363113,24.580414",,,110.363113,24.580414
柴沟堡站,0,"114.416107,40.671211",,,114.416107,40.671211
柴河站,0,"129.686493,44.767357",,,129.686493,44.767357
昌乐站,7,"118.838991,36.710527",,,118.838991,36.710527
昌黎站,0,"119.168058,39.704233",,,119.168058,39.704233
昌平北站,0,"116.233105,40.231439",,,116.233105,40.231439
昌图站,0,"124.117401,42.779094",,,124.117401,42.779094
昌图西站,25,"124.067808,42.778191",,,124.067808,42.778191
常德站,16,"111.694993,29.070487",,,111.694993,29.070487
常平站,170,"114.006233,22.983292",,,114.006233,22.983292
常平东站,62,"112.939995,35.240242",,,112.939995,35.240242
常平南站,62,"114.00471,22.972485",,,114.00471,22.972485
常山站,6,"118.528006,28.935011",,,118.528006,28.935011
常州站,202,"119.973395,31.785408",,,119.973395,31.785408
常州北站,93,"119.955497,31.854055",,,119.955497,31.854055
常庄站,0,"117.890060,36.322731",,,117.89006,36.322731
超梁沟站,0,"117.696053,41.233070",,,117.696053,41.23307
巢湖站,0,"117.890948,31.614378",,,117.890948,31.614378
巢湖东站,52,"117.925139,31.617860",,,117.925139,31.61786
朝天站,10,"105.878786,32.637966",,,105.878786,32.637966
朝天南站,0,"105.886568,32.636499",,,105.886568,32.636499
朝阳川站,0, ,,,0,0
朝阳村站,0, ,,,0,0
朝阳地站,0, ,,,0,0
朝阳南站,0,"120.440361,41.520692",,,120.440361,41.520692
朝阳镇站,0, ,,,0,0
朝中站,0, ,,,0,0
潮汕站,170,"116.588005,23.536369",,,116.588005,23.536369
潮水站,0,"127.370026,49.738907",,,127.370026,49.738907
潮阳站,67,"116.422380,23.380822",,,116.42238,23.380822
潮州站,0,"116.583878,23.638575",,,116.583878,23.638575
车墩站,71,"121.320587,31.005135",,,121.320587,31.005135
车转湾站,0,"104.152588,25.692438",,,104.152588,25.692438
郴州站,0,"113.033161,25.808282",,,113.033161,25.808282
郴州西站,147,"112.969660,25.735955",,,112.96966,25.735955
辰清站,0,"127.238724,49.141682",,,127.238724,49.141682
辰溪站,0,"110.255584,27.878622",,,110.255584,27.878622
陈官营站,0,"106.141205,39.119083",,,106.141205,39.119083
陈相屯站,0,"123.531319,41.564571",,,123.531319,41.564571
晨明站,0,"129.489990,46.975262",,,129.48999,46.975262
成都站,19,"104.073403,30.696772",,,104.073403,30.696772
成都东站,289,"104.141625,30.628860",,,104.141625,30.62886
成都南站,30,"104.068464,30.605893",,,104.068464,30.605893
成高子站,0,"126.836708,45.699963",,,126.836708,45.699963
成吉思汗站,0,"122.839516,47.748703",,,122.839516,47.748703
承德站,0,"117.955027,40.965014",,,117.955027,40.965014
承德东站,0,"117.990216,40.889091",,,117.990216,40.889091
城固站,0,"107.322028,33.137339",,,107.322028,33.137339
城固北站,45,"107.306002,33.183914",,,107.306002,33.183914
城子坦站,5,"122.497498,39.509052",,,122.497498,39.509052
池州站,52,"117.522087,30.619559",,,117.522087,30.619559
赤壁站,0,"113.930075,29.721565",,,113.930075,29.721565
赤壁北站,44,"113.900578,29.735707",,,113.900578,29.735707
赤峰站,0,"118.959673,42.256860",,,118.959673,42.25686
赤峰东站,0,"119.045764,42.285914",,,119.045764,42.285914
赤峰西站,0,"118.902175,42.276154",,,118.902175,42.276154
崇信站,0, ,,,0,0
崇左站,0,"107.358249,22.403867",,,107.358249,22.403867
滁州站,61,"118.320349,32.198475",,,118.320349,32.198475
滁州北站,0,"118.327637,32.308108",,,118.327637,32.308108
楚鲁图站,0,"112.601784,42.845734",,,112.601784,42.845734
楚山站,0,"130.028305,45.118153",,,130.028305,45.118153
楚雄南站,0,"101.544586,25.050582",,,101.544586,25.050582
褚家湾站,0,"106.120056,36.406300",,,106.120056,36.4063
串子沟站,0,"120.434723,40.734051",,,120.434723,40.734051
春申站,71,"121.354195,31.079416",,,121.354195,31.079416
春亭阁站,0,"124.492500,49.791031",,,124.4925,49.791031
春阳站,0,"129.444626,43.715687",,,129.444626,43.715687
慈利站,0,"111.119059,29.417348",,,111.119059,29.417348
磁山站,0,"114.111794,36.597157",,,114.111794,36.597157
磁县站,0,"114.372757,36.360263",,,114.372757,36.360263
磁窑站,0,"117.106071,35.901386",,,117.106071,35.901386
从江站,37,"109.114834,25.908873",,,109.114834,25.908873
崔黄口站,0,"117.201401,39.521637",,,117.201401,39.521637
翠峰站,0,"111.805847,36.813541",,,111.805847,36.813541
翠岗站,0,"124.693283,52.048630",,,124.693283,52.04863
嵯岗站,0,"118.100258,49.256519",,,118.100258,49.256519
达家沟站,0,"125.821938,44.658520",,,125.821938,44.65852
达拉滨站,0,"124.789185,49.665611",,,124.789185,49.665611
达拉特西站,2,"109.896271,40.380768",,,109.896271,40.380768
达州站,16,"107.453435,31.198531",,,107.453435,31.198531
打柴沟站,0,"102.998962,37.090115",,,102.998962,37.090115
大安站,11,找不到,,,0,0
大安北站,0, ,,,0,0
大坝站,0,"105.934265,38.024426",,,105.934265,38.024426
大板站,0,"118.639900,43.525330",,,118.6399,43.52533
